SENTIMIENTO DEFINITIVO,TWEET
NEGATIVO,1378508620028014595-@Chaposoto El mercado negro de las vacunas
NEGATIVO,1362221797370953731-@ivette_pataki Y este pedazo de estúpido quien es o que se siente el pendejo 🤬🤬🤬 no solo la merecen primero deben de darles prevendaf hdtpm neta ojalá que no te de covid o alguna otra enfermedad
NEUTRO,1354843049474596867-Verificación de las medidas sanitarias en el transporte público
POSITIVO,1347297241585885192-#Fitness #SexyMen #SexyBoy #FitnessMen #FitnessBoy #Ejercicio #Ejercicioencasa https://t.co/fn8oC26eR7
NEUTRO,1296454657481605121-@fran820418 @FelipeCalderon Fíjate que no toma
NEUTRO,1295403125017399297-@Omar37889927 @SamsClubMexico @AmiraVazquezMtz @ferfisfer @enarmeg @AdrianLopesilva @GobYucatan @CovidiotasMid @El_FiSgOn_GtZ @mvz_andrei @MigueMigue38 @medicenfos Si amigo. Saludos @Omar37889927. https://t.co/LcUU8ZQrjd
POSITIVO,1267330021926060033-#QuwdateEnCasa en Los Tulipanes
NEUTRO,1256395246885371904-#QuedateEnCasa ORDENA Y DISFRUTA DESDE LA COMODIDAD DE TU CASA.⭐️ENVÍO GRATIS⭐️ !!!Menú 👇🏼https://t.co/VLX2hxorObEnvía Whahtsapp9981 16 80 70SERVICIO A DOMICILIO HORARIO 2pm a 10pmTacos
NEUTRO,1245767809541472263-OJO aquí banda: 👇Estos son los laboratorios privados y los hospitales públicos donde se pueden hacer la prueba confirmatoria de #Covid19 y su procedimiento. Vía @elnortelocal https://t.co/YUyW7qwZHL
NEUTRO,1365744705330241537-Hay personas jóvenes
NEGATIVO,1326335710903808005-Ya empezó a morir la gente que estaba celebrando a sus difuntos hace casi 15 días.El #Covid_19 es muy puntual
NEGATIVO,1414069525314736128-Yo digo que no hagan planes de conciertos este pinchi virus viene más letal... La vida cambio esperemos otro virtual quizás...
NEUTRO,1454860437082853383-#Halloween #ViveConPasión #Disfruta #TodasLasEspecialidadesDentales #AgendaTuCita☢️Notifica a tu #Dentista si tienes algún síntoma 🫁 Tos
POSITIVO,1250958153828536320-Pacientes graves con coronavirus en Chicago están respondiendo a un tratamiento con el antiviral remdesivir https://t.co/Me7D1jHbiQ
NEUTRO,"1437108045910269952-""Estoy en la zona arqueológica de Mitla y pues bueno"
NEUTRO,1256925309594742784-En cierto modo
POSITIVO,1281992733142515716-Control de temperatura y cuidados generales previos al ingreso de pacientes y personal a nuestras instalaciones #COVID_19 #sanadistancia #vw #volkswagen #Puebla #sanitizacion #Mexico #tratamientos #cirugias #convenio #coparmex #concanaco #canacintra #canirac #pandemia https://t.co/V6NVkDo6fP
NEUTRO,1348040555259899904-@SIIGFRIID1 @AFPespanol @ernestocedeno !Juar!Entonces la vacuna es parte de un plan para acabar con la humanidad?¿Que le ponen al agua potable de Panamá?!Juar! https://t.co/VPpftRJkD1
NEGATIVO,1246472033547907073-Seguros que para el 30 de abril no se acabará la #cuarentena 😭😷 mi paciencia se acaba 🙈🙃
NEGATIVO,"1300799081703337984-""“La pandemia está perrona pero para también los mexicanos están todos diabéticos y gordos y comen puro pispiote ¿cómo no se iban a morir por la coronavirus?”-AMLO según yo."""
NEGATIVO,1354108131505295360-Te odio #COVIDー19
POSITIVO,"1370090340712116228-""🚒 Bomberos de @pctlalnepantla rescataron a un 🐱 que subió a la parte alta de un poste de luz ubicado en la calle Puerto Escondido"
POSITIVO,1256770622211809280-#TrabajandoAndoArrancamos las #HistoriasDeLaNoche tú que puedes #QuédateEnCasa https://t.co/Ryxfgw6FQJ
POSITIVO,"1334623383254945797-""@TadeoCavazos1 @Mty_Leones Pues tiempos de crisis p son de oportunidad"
NEGATIVO,1299529470332805126-@betoc90 @fricho_est Amo esa foto! Q hp puto coronavirus
NEUTRO,1413305253613686790-👉Hoy en #Meganoticias Toluca | 🎥🔴 LIVE #mntolcovid🙏🗣️ Piden justifica por Cristofer
NEUTRO,1418051937820286979-@Casidy_an @lobarroco Según entiendo es por Covid
POSITIVO,"1281368813179731971-""Hoy hicimos un curso de parte del imss para certificarnos por lo del Covid-19"
NEGATIVO,1427340316961554432-📌Es criminal el desaseo del manejo de las vacunas en nuestro país. ❌Muy lamentable que no se tenga registro de 18 millones de vacunas que HOY
NEUTRO,1384336419297005571-@DrParvovirusB19 Bendito Dios leí dos veces
NEUTRO,1286142965946044416-@PatGtzOtero @enriquesnyder No es una descalificación. Es una alerta sanitaria por el uso de un producto que es un desinfectante como medicamento.
NEUTRO,1322657251170177024-@RenanBarrera ¿En serio cree prudente reunirse en una casa con gente mayor durante una Pandemia?
NEUTRO,1264759558028877830-Mientras tanto la cuarentena en el 1er mundo 🇺🇸... 🤦‍♂️😪😷🇲🇽
POSITIVO,1280543642642534401-Me he dado cuenta de lo mucho que me ha beneficiado la pandemia. Cargaba con muchas culpas que poco a poco han ido desapareciendo.Además de todas las reuniones que me he evitado y espero pronto me sea más fácil decir no.
NEUTRO,1266139158776512513-@blonde3x Así me tiene esta cuarentena caray
NEUTRO,1248233068567150601-JMCL y LVR entregaron 34 unidades Covid https://t.co/Mil2IjieaW
POSITIVO,1317254159872176128-@publistation @dadkom14 @rhgirard Reflexionando sobre eso ahora justo
NEUTRO,1336541966474076166-No te puedes perder las semifinales de la @LigaMXExpansion ni tampoco la variada programación que @MarcaClaro y @ClaroSports tienen para ofrecerte. #ClaroQueMeQuedoEnCasa https://t.co/zGkZpHvDit
NEGATIVO,1345958880052965376-Fiesta para algunos. Por fin un error de forma que presentarán como de fondo y sobre el cual intentarán fundar su necesidad de usar a la Pandemia (tragedia) como munición política. Aprovechen y sáquenle todo el juguito que puedan pero por favor no mal informen y tergiversen.
NEGATIVO,1304752674815070213-Ayer me dio una de las peores crisis nerviosas de la vida
NEGATIVO,"1303329218508460032-""México ocupa actualmente el primer puesto entre los países del mundo en los que más profesionales sanitarios han fallecido a causa del covid-19"
NEUTRO,1288244327618088961-@tazadecafe66 @porlavacunacion En cualquier centro de salud
NEUTRO,1284266288307671041-Tripofobia? La vida es un tanto rara
POSITIVO,1246698920429916160-CALAVERAS Y DIABLITOS 😻😻😻 amo como les quedo esta canción a los rebelcatsmx #quedateencasa  #purocañonazo #rockabilly en Salvador Díaz Mirón
NEUTRO,1283261278484455424-@arqferortiz @calbert57 @lajornadaonline @MarkoCortes @AccionNacional @HLGatell @MarioAja9 Que bueno
NEUTRO,1313198730745708545-Imaginar la vida sin Covid19 #Gooajardo
NEUTRO,1430945365264674816-*Alguien dice que sus hoyuelos están bien bonitos*Yo: https://t.co/6nQp60PcRw
NEUTRO,1326718659994161152-Históricamente dicen que está documentado que en el caso de las pandemias siempre la segunda oleada es la más devastadora ¿no?
NEUTRO,1247361697548865536-Internet: Si no sales de esta cuarentena con un libro leído
NEUTRO,1348492380689866753-Aparecen los trapitos al sol de @FirenzeM empezando por el hermano incómodo
NEGATIVO,1270874533252067330-Un presidente de la REPÚBLICA. Es una burrada decir que portarse bien
NEUTRO,1426726742702579712-@carlosalazraki De las clases presenciales... 🤦🏻‍♂️🤦🏻🤦🏻‍♀️🤦🏻‍♂️🤦🏻🧐🤔😷🇲🇽 https://t.co/oVSiinrzkJ
POSITIVO,1459275539647246340-Se expuso crisis hipertensivas y se ganó. 🤍
POSITIVO,1392186912060764161-Vacunada mi compañera. Sigo mañana. 😉 https://t.co/DAIXnAOFaW
NEGATIVO,"1338301566965706754-""@JoseCardenas1 ¿Y la pandemia? ¿Y el personal de Salud? Nadie se acuerda ya del Covid-19 en Guadalajara. Este video se tomó ayer por la noche. https://t.co/JKMnWjrWkD"""
NEUTRO,1255486885897609217-@alflipy @JesusMartinMx @HLGatell @SSalud_mx @lopezobrador_ https://t.co/w7xjiR7Tcd
NEUTRO,1430645970262450177-Yo el día después de la vacuna https://t.co/BTFJ2F9Ow5
NEGATIVO,1271574987388960775-@AlmendraYek @jenarovillamil @HLGatell @AccionNacional @LopezGatell Ahí está tu madrazo seco
NEUTRO,1245382401506844673-Solo los que realmente tengan una pasión van a sobrevivir con su cordura intacta a esta cuarentena.
NEGATIVO,1297186753707573249-@cespt Increible que empleados de @cespt y @Jaime_BonillaV sean tan mediocres al realizar su trabajo
NEGATIVO,1353525929709088774-Contigo mi lord ya hubiéramos salido de esta😷🥺  #Covid_19 #COVID19 #COVID  #Noticias #viral #Tendencias  #Mexico te extrañamos si o no amigos😷🥺 #RETWEEET
NEUTRO,1399929858709495810-Hay que hacer oraciones por el virus... https://t.co/VwBottNmQ5
NEUTRO,1312194462559293441-Al 02 de octubre de 2020 hay 753
NEUTRO,1458521706537144330-@jruizhealy A mi sobrina de 18 meses de vida
NEGATIVO,1417346225133686786-@xavys0077 Y aún así ! Cualquier vacuna no te quita tus enfermedades de base llámese OBESIDAD
NEGATIVO,1270555840488103937-Ante la crisis que atraviesa la economía por el coronavirus
NEUTRO,1293531216793276416-😀🏡¿Te gustaría participar en una clase de Tenis? Te espero Disfruta de una clase de Tenis en Santa Fe HU LifeStyle.¡Ven te invito
NEUTRO,1301553714818236416-@En_laDelValle Buenos días para comer rico el día de hoy enRincón de ADETeléfono 55 55599546Servicio a domicilio#BJADOMICILIO#QuedateEnCasa https://t.co/jaOduFrJ21
POSITIVO,1392549414028333060-El #CongresoDigital fue implementado derivado de la pandemia por #COVID19 bajo la presidencia en el Senado de la legisladora tabasqueña.Uno de sus muchos logros en su paso por la LXIVLegislatura.
POSITIVO,1295219533242945536-Todos los domingos mi familia se reúne por zoom y pienso que es una de las tradiciones más bonitas que nos ha traído la cuarentena
NEGATIVO,1248216518204194816-@_Orlando696 @BizarreMood @Topkingeljefe @CarlosLoret @HLGatell si no mames hubiera votado por cualquier otro de los excandidatos que nos hubiera mantenido siendo noruega finlandia o suecia
NEGATIVO,1289240765118345216-Cuando te acostumbras a comer mierda @lopezobrador_ llega el momento en que ya no te sabe... tú gabinete no te va a dejar ponerte un cubrebocas. Más de 40 mil por pandemia y muchos más por violencia y tu con chistes estúpidos. Eres idiota
POSITIVO,1263431127789760512-Chistes cortos  (Clips de TikTok)#FelizJueves#JuevesDeGanarSeguidores#JuevesMusicales #Mayo2020#Chistes#Comediantes#ComediaEnEspañol#Mexico#MEMES#Video#TikTok#YouTube#Viral#QuedateEnCasa#Notimex#BuenosDias#cuarentena#youtuber#Instagramhttps://t.co/Ke6RrZDbBN
NEGATIVO,1285623439269810182-@tirano_zorro @AristeguiOnline Sigues chillando quejate del buey que tienes de presidente que no aporta para las vacunas de los niños o no has de tener hijos
POSITIVO,1452621525455187970-Hoy me toca la segunda dosis y prácticamente se está acabando la pandemia...
POSITIVO,1271070574794682368-@VILLALVAZO13 @V_TrujilloM #Covid_19 #UnidosLoVenceremos
NEGATIVO,1363300428746612741-@victor_suarez @lopezobrador_ @Luis_C_Sandoval @HLGatell Cállate ridículo !!!
POSITIVO,1260946115765121024-#MéxicoTeReconoceMaestro 🇲🇽✅#GraciasMaestroPor estar en la primera línea por la educación ante pandemia #coronavirus #COVID19 🦠 Adversidad no significa distancia #AprendeEnCasa 🏡👉#15deMayo 🗓️ #DíadelMaestro 👩‍🏫👨‍🏫#BuenJueves #JuntosContraElCovid Ecatepec #NuevaNormalidad https://t.co/obtV8681XZ
NEGATIVO,1267129962466852864-@jgnaredo @lopezobrador_ @HLGatell ¿En serio te resulta divertido que el mapa esté de color rojo por la cantidad de PERSONAS contagiadas y fallecidas a causa de la pandemia? Como persona que imparte enseñanza dejas mucho que desear
NEUTRO,1343840547933474816-@epigmenioibarra @FGRMexico Exijes?
NEGATIVO,1257038796719132673-Hay desigualdad con nuestros vecinos en EU y la tenemos también en MÉXICO. Más y mejores políticas sociales
NEUTRO,1394668078705922050-Evite circular por inmediaciones de Esc. Normal Rural Mactumatzá
NEUTRO,1414635765934477314-Se ve bastante moderna La Habana. 😝
NEUTRO,1304789054404263936-Soñé que era enfermera y hacía pruebas de covid metiendo el dedo en el qlo de la gente
NEUTRO,1245049222883348480-@KaroMoon @ProHomineMx @Temylu10 @DOF_SEGOB @Claudiashein Si dice contingencia sanitaria el DOF publicado.
NEGATIVO,1255651648799678464-@gregnu @HLGatell @lopezobrador_ Mas aburrido que una charla motivacional del ojitos Meza
NEGATIVO,1317076764519268352-@cesarcansino @FelipeCalderon Peor que el actual gobierno
NEUTRO,1364056579767603201-🟠📊 #COVID19 Consulta el comunicado técnico diario de la @SSalud_mx – 22 de febrero 2021. #NuestraCiudad #Tlalnepantla #SemáforoNaranja ⬇️⬇️
NEGATIVO,"1257375807464407047-""""""El covid-19 es un invento del Estado"""" no mamen"
NEGATIVO,"1271828678872166403-""@erickmendozag @HLGatell Pues tendrá muchos estudios pero no sabe cómo lidiar con el virus COVID-19 y el parásito AMLO"""
NEGATIVO,1353519221246988289-cuando te das cuenta que las estampitas contra el Covid no funcionan https://t.co/NoYMhV0isz
NEUTRO,1288322106221092865-#CiroEnImagen no es raro que solo los fines de semana bajen los contagios y los decesos
NEUTRO,1284610404983816192-@Dorados Y si después de la pandemia se traen otro jueguito así?🤗
NEUTRO,"1341187309681717254-""Así las actividades en Plaza Sendero #Ixtapaluca 🛒😷 ▪ Sólo abren locales con servicios esenciales▪ El horario de @TiendaSoriana es de 8-22 hrs▪ Restaurantes y comida rápida"
POSITIVO,"1259481605061644288-""Despertando a un nuevo día. Intención del día: Celebrar y agradecer a las Mamás. -A la distancia -A las que ya están en el cielo -A las que trabajan aún en cuarentena -A las mamás solteras-A las que han perdido a uno de sus hijos.GRACIAS MAMÁ 🙏🏻"""
POSITIVO,1265020770679480328-@alfredodelmazo Quedate en casa
NEUTRO,1357038471534247938-@AbelIsa00516545 @silviara2002 @vampipe Definitivamente no conoces y no tienes la manor idea del protocolo de manejo de pacientes covid
NEUTRO,1255202488371810308-@hzagal Totalmente de acuerdo
NEUTRO,1258072094920699905-El gobernador @MBarbosaMX señaló que su gobierno siempre se apegará al respeto a los derechos humanos y libertades de los ciudadanos
NEUTRO,1247762240658268160-@FerMG33_ Ya hacen de todo con el ADN
NEGATIVO,1260812879164354560-Todos tenemos a alguien que anhelamos ver pero esta cuarentena no nos lo permite... :( https://t.co/Ubui2fO1qm
NEGATIVO,1306798998167068674-Qué tiempos cuando no había #Covid y el viejito loco podía dar alegremente el #GritoDeIndependencia a todas las multitudes.Eramos felices y no lo sabíamos. https://t.co/F5zLYkY1KB
NEGATIVO,1257431209476599809-SI creo en el #COVIDー19 PERO necesito que todo vuelva a la normalidad. 😔
NEUTRO,1245219990468300800-YA NO NOS VEO EN EL MISMO JANGUEOOOOO
NEGATIVO,1285703538497277953-@CarlosRomeroHdz No todo es asunto de distracción. Una epidemia gigante causada x  avaricia corporativa aun mayor. Mueren al año más personas por tomar refresco q los que han muerto x COVID. Si eso no te parece doloroso o digno de discusión sería fácil imaginar la razón.https://t.co/itdSj0HJw1
NEGATIVO,1257050364529963008-Mi rutina en la cuarentena se basa en pelear con la tóxica 😓🔥🥴
NEGATIVO,1410766758454104066-@beltrandelrio @angie_bravo9 @HLGatell Y si mejor lo diseccionan a él... In vivo. Sin anestesia 😒
NEGATIVO,1321318634778697734-@lopezobrador_ ojalá y que también pronostique ya buenas cosas como: seguridad
NEGATIVO,"1282111867201232896-""@jgnaredo @HLGatell La """"opocicion"""" le ha apostado y le sigue apostando a qué a México le vaya mal con tal de que regresen los privilegios que tenían son unos miserables lo que hacen por dinero y poder"""
NEGATIVO,1361533919921864704-Solo reclamo y exijo un buen presidente.Yo como muchos perdí familiares por el covid y la negligencia de este gobierno inepto.Solo eso
NEUTRO,1376932555665113095-🏘#QuédateEnCasaInicia la 172 🏛#SesiónOrdinaria de la #LXIVLegislatura de #Hidalgo. Preside @DoraliciaMartn1 🔴 #EnVivo📺#Youtube: https://t.co/GVSlQfmHYn📱#Facebook: https://t.co/4qvSA9mwDu💻 Material: https://t.co/tKuj9F1OK5
NEUTRO,"1260321545639133184-""@Caramonelblanco @shizukachrona Efecto Covid-19 https://t.co/CY2JZbDpFt"""
NEGATIVO,"1324857203669561344-""Puebla sigue sumando más de 100 contagios diarios de Covid-19 https://t.co/9f5obUDlCy vía @angulosiete"""
NEUTRO,1256396958958333952-@claudiamtzs Yo llevo marca perfecta
NEGATIVO,1351233485227372547-Hacerla de secre no es lo mío... Mándenme a área Covid mejor 😭
NEGATIVO,1336503977198800905-@EXHS Una lastima como la senadora @AntaresVazAla se mueve para afectar a  Guanajuato
POSITIVO,1387075885652750338-Gracias a él personal de la subsecretaría de prevención del delito  y al sub secretario Pablo Vázquez  por su gran trabajo  en la segunda fase  de vacunación  en el plantel de zacatenco en la GAM felicidades https://t.co/luuS4wjsWf
NEGATIVO,1311659268026884097-COVIDiotas hay de todas las clases sociales.
NEUTRO,1266023158374477824-@osirispadron @WeraReynoso @HLGatell https://t.co/FMQwMiLCYM
NEGATIVO,1458439114701824012-#AMLOAbandonaLaSalud No procura en que sean vacunados primero médicos probable regreso de contagio https://t.co/OWomH0mvRd
NEUTRO,1292851410359529474-Ahí les hablan @HLGatell @lopezobrador_  @Claudiashein @EnriqueAlfaroR
NEGATIVO,1261519773625651207-@HLGatell Solo los Chairos que antes negaban que existe el coronavirus se incan y aplauden ante este par de incompetentes que lograron superar a China en muertos y el índice de letalidad más alto del mundo. Y eso que esconden cifras y se niegan a aplicar pruebas.
POSITIVO,1394459491995996161-@alfredodelmazo Señor Gobernador ya hoy me pude vacunar en compañía de mi esposa en Tecamac. Astra Zeneca primera dosis. Gracias y que sigan los buenos resultados.
NEUTRO,1356687266647744512-| #AGRORealidadesEl trasfondo ecológico de la crisis agrícola en India📌https://t.co/oOP9EAcXxa
NEGATIVO,1465426556730368001-@avieu Que asco de persona y de presidente es #ElCacasObrador y más que tiene a su gatete @HLGatell #GatoGatell #DrMuerte quién es un completo y asqueroso ignorante además de estulto y asesino por su forma en como ha manejado la pandemia. Ambos son un asco 🤢🤮
NEUTRO,"1428038126748983296-""@Galaxiactiva yyyyyy como para cuabdo....se Podra regresar a la normalidad anti-covid...?."""
NEGATIVO,1427801022106329089-Odio el mundo con restricciones por covid
POSITIVO,1301761470905151488-Saludo al sol
NEGATIVO,1341211714138718208-@maxdt Ciertamente pero a algunos (¿muchos?) nos va a valer madres. Además
POSITIVO,1305899175297478657-! Viva México desde Casa !  La pandemia del #COVID nos obliga a realizar festejos patrios virtuales. Son tiempos de solidaridad y de ser responsables !! #GritoDeIndependenciavirtual #15DeSeptiembre2020 #NocheMexicana https://t.co/NP9ucrSHrx
NEUTRO,1270512878475411457-#ExigimosInsumosDeCalidad la alerta de contagió es grande se exige medicamento y equipos de calidad para combatir está contingencia https://t.co/gSYeYzETVT
NEUTRO,1304849491527258112-AMLO revela que Cuauhtémoc Cárdenas padece Covid; desea su pronta recuperación https://t.co/8ogECDWoVc vía @El_Universal_Mx
NEUTRO,1249887355583905792-#MédicosDelBienestar: Convocatoria especial para la atención del #COVID19. ¡Inscríbete ya! ➡️ https://t.co/W93o8mBhHJ  https://t.co/AHoXADMQIZ
NEUTRO,1368017311081332739-Esperando el update de @watchthetatv #thetatv con un #nemesisteaflavor @gfuelenergy sin olvidar #CodeDaVirus @davirusofficial en Tepic
POSITIVO,1274057597780480000-Saludos @Reactor105 #estavivo #ReactorEnCasa @luisalaouija excelente viernes y siempre un placer escucharte se te quiere mucho LUISA❤️🤘😎
NEGATIVO,"1260638999900827648-""Si se pasaron la cuarentena por los huevos"
NEGATIVO,1271208032332943360-Necesito salir..... ya no aguanto la cuarentena!!! 🥺🥺🥺🧑🏻‍💻 en Cuauhtémoc
POSITIVO,1464833941937041417-Saltillo continua disminución de casos covid
NEGATIVO,1346125640580308993-@oscarhramirez @EjeCentral @lopezobrador_ @m_ebrard 1º No puede resolver las crisis que hay en México pero quiere resolver uno que no le corresponde.2º UK rechazó la extradición que pidió USA debido a problemas de salud que tiene Assange. Tu crees que lo van a mandar a un país donde el sistema de salud es deficiente? 😏
NEGATIVO,1424795154154606607-@Santostarin1 Estás viendo el vídeo que compartí que en el primer mundo con medicina de primera calidad y personal capacitado los niños están muriendo... Cómo te imaginas que será el escenario aquí sin vacunas
NEGATIVO,1314728551204171778-Ya estoy harto de la pandemia! :(HY una diferencia entre precaución y paranoia.
NEGATIVO,1324420821490626560-Que mamones la segunda ola de covid por tan poco
NEUTRO,1284373715896029184-@lic_metal Hablas por lo de los semafros de la contingencia?
NEUTRO,1274032631160557570-No sabía que esta cuarentena llegaba para convertirme en la señora de la casa. Mas de tres meses ya jajaja. Todo sea por que no salgan mis paps. 😅
NEUTRO,1316191076416475136-@rockavirus2020 Si esos son los amigos
POSITIVO,1366880223774404608-Aprovecho para felicitar a todas y todos los involucrados en la planeación y realización de los talleres
NEUTRO,1323348242994663424-Todos los días he leído muchos tweets de pandemia
POSITIVO,"1393945678087434245-""Me gusta ver qué ya hay muchos vacunados"
NEUTRO,1274346581060390912-@V_TrujilloM @HBOLAT @HBO Vamos a alzar la voz......
NEGATIVO,1267452238970023936-Ya estoy harta
NEUTRO,1417516931221970944-Crónicas de una vacunacion anunciada Nunca es tarde para vacunarse
NEUTRO,1466111137083277320-Avistamiento en la @FILGuadalajara.(¡Y hoy presentamos #LaSagaDelViajeroDelTiempo! Será a las 16:00 en el Salón 9
NEUTRO,1393363154508390402-ÉL HOCICON EN ACCIÓN
NEGATIVO,1312897444133457920-Ayer fui a una boda con Susana Distancia y me caí dos veces de rodillas porque me dió vértigo y hoy no me he podido levantar porque tengo moreteadas y raspadas las piernas. ¿Cómo va su domingo? (Foto de antes de casi  romperme la crisma) https://t.co/Dec9a7cYfW
NEGATIVO,1368638335468634112-Más de 140 escuelas públicas han sido vandalizadas en #Torreón en el último año
NEUTRO,1247565742939111425-Last night 💪🏽#homeworkout #QuedateEnCasa #RampageUnity https://t.co/UTH4ea9YEQ
NEUTRO,"1258595869076537345-""Pico máximo de contagios por Covid-19 la siguiente semana: Doctor Hector Raúl Perez Gomez. https://t.co/S1lODtIqEN via @Notisistema"""
NEUTRO,1269481643888332801-Manden sus culitos
NEGATIVO,1279815026015174660-Añoramos las pistas
NEGATIVO,1292949503075475456-Ahora si ya me está pegando la cuarentena.
POSITIVO,1246926975664611331-Tarea terminada💪🤜🤛Quedate en casa 🏡 en Mexico City
NEUTRO,1353374716891975681-Un excelente ejemplo de lo que no debemos hacer una vez que empiece la vacunación masiva. Ideal que el gobierno comience a dar indicaciones oficiales al respecto.
POSITIVO,"1354818860558426114-""Desintuban a Norberto Rivera"
NEUTRO,1375515960707182593-Para los que se pondrán la vacuna
NEUTRO,1251542805282910215-11:07  #QuedateEnCasa libre a la circulación presenta Lieja entre Av. Chapultepec hasta Paseo de la Reforma #MovilidadCDMX https://t.co/S1acY1cfa1
NEUTRO,1248818051203678213-Soy la única que se la pasa comiendo a lo wey en la cuarentena ?
NEUTRO,1277768851216912384-A estos tiempos ya no sé si mi outfit es modo cuarentena 😷
NEGATIVO,1316739521828974593-@HLGatell Ya cállete el ocico eres un pobre lame huevos 🥚
POSITIVO,1346824877328584705-Feliz día de Reyes 👑 Esta mañana el ambiente es frío
NEUTRO,1269810619479470081-Seamos sinceros... No hablemos de bajar de peso o hacer ejercicio... Cuantos se mantuvieron en su peso en esta #cuarentena?🤦‍♀️🤦‍♀️🤦‍♀️#obesidad #diabetes #nutricion #salud #coronavirus #CDMX #lowcarb… https://t.co/5dsTGyDJSG
NEGATIVO,"1245269065708363777-""""""Aquí tienes tu cheque con lo que corresponde conforme a la ley (una miseria por cierto)"
NEGATIVO,1380608625643765760-Anlo. ....los médicos necesitan la vacuna cabrón!!!! Para el pinche VOTO si nos buscas weey.....Cómo anillo al dedo ahora a  nosotros......solo nos das más pretextos para tirarte CALABAZA 💩💩💩💩💩!!!I N E P T O  !  !  !
NEUTRO,1433822517706334209-@lactriz360 Efectos de la vacuna
POSITIVO,1289017316223717376-Ninguna pandemia va a evitar que sigamos entregando quimios . Te queremos #Rubí ❤️🙏🥰Dona tapitas en https://t.co/rXhVNcWwt9 en Acapulco Guerrerro https://t.co/aO2gbzepC0
NEGATIVO,1429775111742181376-@luciajmgr Yo ya tengo las dos dosis de pfizer y aún sigo robando oxigeno al mundo
POSITIVO,"1336348994549772290-""""""El gobierno detalla su plan de vacunación contra la COVID-19 en México""""  https://t.co/P5NxzWnCkQ"""
NEGATIVO,1305226038507700224-Nuestro pais requiere urgente de un cambio de rumbo en el manejo de la pandemia. Por eso
NEUTRO,1258170991009656833-@beltrandelrio @HLGatell Yo a todo esto le llamaría
NEUTRO,1433231825153966080-La #UNICACH Subsede Palenque abre sus puertas a la vacunación.😷 Comparte y anima a tus familiares
NEUTRO,1260345571337891840-El mexicano y su creatividad #COVID2019mx https://t.co/uSqRkytupq
POSITIVO,1463885570539667461-Por fin las aulas y la Unicersidad se van abriendo
NEGATIVO,1250869829499748353-@DraGrado este es un caso de San pedro donde la señora ya tiene dos años en Cama y nadie le ha proporcionado ayuda
NEGATIVO,1270929207313543168-Esta #pandemia y el actual estado en el que nos encontramos con semaforo rojo
NEGATIVO,1315507335813574657-¿Le faltaba emoción al Dosmil20? Ahora nos visita un asteroide... o chatarra de las misiones a la Luna ¡a saber!#ConAstrónomoEnCasahttps://t.co/Tupdz32Ir1
NEUTRO,1296827958330621954-@FelipeCalderon y @jorgeberry #LopezNoDiraNiPio ni ellos tampoco #Covid_19
NEUTRO,1285307506261200902-Para seguir #QuedándonosEnCasa estoy preparando una película que todo rockero debe ver:THIS IS SPINAL TAPUn documental ficticio sobre una banda llamada Spinal Tap
NEUTRO,1375468995999064072-¿Y el #QuedateEnCasa ?@889Noticias @ChilangoCom https://t.co/nDKRHmVGpZ
NEUTRO,1249729455901118464-@AlvarezMaynez @Claudiashein El 13 de marzo era otra la situación. Ha pasado un mes. Hoy es imperativo no seguir moviéndonos. #QuedateEnCasaYa
NEGATIVO,"1381632781311209473-""Hartazgo de ver estás """"Héroes de la pandemia"""" que son más hipócritas que salvadoras del universo.Si haces """"el bien"""" según tú no lo andas presumiendo como una cualidad. Tanto narcisismo acá."""
NEUTRO,1266472366261108741-Pdn ⬆️10mg aumenta riesgo hospitalización / terapia con antiTNF ⬇️ #enfermedades #autoinmunes #Covid_19 👍🏼👍🏼👍🏼
NEUTRO,"1332813551690452995-""Las prioridades del Gobernador @alejandromurat en materia de familia"
NEGATIVO,"1354264704189927428-""@elrodrigocastro @rodolfobernal @LillyTellez @HLGatell Por eso meco... si le ofrecen """"apoyo"""" técnico"
POSITIVO,1349531983081205760-#Edomex es una esperanza aplicarnos estás vacunas ojalá pronto podamos aplicarnola todos y acabar con está pandemia
NEUTRO,1262761498578874370-Las actividades laborales comenzarán a activarse nuevamente
NEUTRO,1344151680670199809-Te llevas vacuna y botonazo. https://t.co/oNs4TNN8DX
NEGATIVO,1269802021105827840-La neta el covid si es mi pretexto perfecto para mandar alv a gente que se quiere auto invitar a mi casa a tomar.
POSITIVO,1310951166050816000-@lopezobrador_ @HLGatell @SSalud_mx @Claudiashein Un verdadero lider!! https://t.co/ekFNNnGu2o
NEGATIVO,1292861179753308169-@revistapolemon @DeniseDresserG @lopezobrador_ @HLGatell Pobre pendeja
NEGATIVO,1350165139018944512-OMG!! Más gente con covid
NEGATIVO,1281402518975676422-@nnvvajm @omarfayad Si durante la cuarentena sufres alguna clase de violencia en tu hogar
NEUTRO,1258101289420042242-@EmilioAlvarezI @GobCDMX @HLGatell No eres crítico
NEUTRO,1259325255589474304-#COVID19 Conurbación #Veracruz #BocadelRío
NEGATIVO,1319114695979069441-@Excelsior @mario_delgado @yeidckol No soy fan de desearle el mal a nadie; pero últimamente se nos han ido puras buenas personas; el coronavirus hará algo bueno y nos quitará a estas ratas de la política? Los mexicanos tendremos esa buena suerte o satisfacción? #Coronavirus #Covitt19
